"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"585","RT @Paulina_Abascal: Viendo los #Oscars ¿quién creen que gane como mejor película?",FALSE,0,NA,2017-02-27 02:23:33,FALSE,NA,"836039035676209156",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Delfinaguero",1,TRUE,FALSE,NA,NA
"586","Mas vale que Moana no le gane a Zootopia como mejor película animada porque rompo todo. #Oscars",FALSE,0,NA,2017-02-27 02:23:22,FALSE,NA,"836038989274624000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abrilvicente",0,FALSE,FALSE,NA,NA
"587","#teamlalaland QUE GANE A LA MEJOR PELÍCULA  (Ahre que ni la vi, pero por ariana <ed><U+00A0><U+00BD><ed><U+00B8><U+0099><ed><U+00A0><U+00BD><ed><U+00B8><U+0099>) #Oscars2017",FALSE,1,NA,2017-02-27 02:22:39,FALSE,NA,"836038807292166146",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","lulylopez2266",0,FALSE,FALSE,NA,NA
"588","No quiero La la land como mejor película #Oscars",FALSE,0,NA,2017-02-27 02:22:30,FALSE,NA,"836038770310926336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","endrygomez",2,FALSE,FALSE,NA,NA
"589","#Oscars pudieron hacer un poquito mas con la presentacion de #Moana, pero quiero que gana mejor pelicula animada",FALSE,0,NA,2017-02-27 02:22:08,FALSE,NA,"836038677990100992",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","luisangela89",0,FALSE,FALSE,NA,NA
"590","Sólo pido que Moonlight o Hidden Figures gane a Mejor Película #Oscars",FALSE,0,NA,2017-02-27 02:22:02,FALSE,NA,"836038653344370688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eerickfirework",0,FALSE,FALSE,NA,NA
"591","Amo @DisneyMoana, ojalá gane a la mejor película animada :D me encanta @auliicravalho, es tan linda y canta hermoso <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #Oscars #OscarsEnTNT",FALSE,2,NA,2017-02-27 02:21:37,FALSE,NA,"836038548331593729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MoXbabygirl",2,FALSE,FALSE,NA,NA
"592","Bueno, como de todas las películas nominadas a ""Mejor película"" sólo vi ""La La Land"", espero de corazón que gane esa. #Oscars",FALSE,2,NA,2017-02-27 02:21:16,FALSE,NA,"836038459756265472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","untalvicio",1,FALSE,FALSE,NA,NA
"593","Tanto odio en Twitter por #LaLaLand significa que es más que probable que gane el Oscar a mejor película. 
#Oscars",FALSE,1,NA,2017-02-27 02:20:41,FALSE,NA,"836038313358290944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","30dientes",0,FALSE,FALSE,NA,NA
"594","RT @PiaLeiza: No se porque pero quiero que Hasta el último hombre se lleve el oscar a mejor película #Oscars #Oscars2017",FALSE,0,NA,2017-02-27 02:20:23,FALSE,NA,"836038238552883200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sjbmarien",1,TRUE,FALSE,NA,NA
"595","RT @OliPeperonni: Yo sólo le pido a la vida que Moana gane a mejor película animada porque su animación es impecable. #Oscars2017",FALSE,0,NA,2017-02-27 02:19:34,FALSE,NA,"836038033312997378",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_HebeCarolina",2,TRUE,FALSE,NA,NA
